onet_soc_code,stem_category_id,stem_category_name,parent_category_name
19-2042.00,1-4,"Life, Physical, and Social Science","Research, Development, Design, and Practitioners"
19-2043.00,1,"Research, Development, Design, and Practitioners",
19-2043.00,1-4,"Life, Physical, and Social Science","Research, Development, Design, and Practitioners"
19-2099.00,1,"Research, Development, Design, and Practitioners",
19-2099.00,1-4,"Life, Physical, and Social Science","Research, Development, Design, and Practitioners"
19-2099.01,1,"Research, Development, Design, and Practitioners",
19-2099.01,1-4,"Life, Physical, and Social Science","Research, Development, Design, and Practitioners"
19-3011.00,1,"Research, Development, Design, and Practitioners",
19-3011.00,1-4,"Life, Physical, and Social Science","Research, Development, Design, and Practitioners"
19-3011.01,1,"Research, Development, Design, and Practitioners",
19-3011.01,1-4,"Life, Physical, and Social Science","Research, Development, Design, and Practitioners"
19-3022.00,1,"Research, Development, Design, and Practitioners",
19-3022.00,1-4,"Life, Physical, and Social Science","Research, Development, Design, and Practitioners"
19-3032.00,1,"Research, Development, Design, and Practitioners",
19-3032.00,1-4,"Life, Physical, and Social Science","Research, Development, Design, and Practitioners"
19-3033.00,1,"Research, Development, Design, and Practitioners",
19-3033.00,1-4,"Life, Physical, and Social Science","Research, Development, Design, and Practitioners"
19-3034.00,1,"Research, Development, Design, and Practitioners",
19-3034.00,1-4,"Life, Physical, and Social Science","Research, Development, Design, and Practitioners"
19-3039.00,1,"Research, Development, Design, and Practitioners",
19-3039.00,1-4,"Life, Physical, and Social Science","Research, Development, Design, and Practitioners"
19-3039.02,1,"Research, Development, Design, and Practitioners",
19-3039.02,1-4,"Life, Physical, and Social Science","Research, Development, Design, and Practitioners"
19-3039.03,1,"Research, Development, Design, and Practitioners",
19-3039.03,1-4,"Life, Physical, and Social Science","Research, Development, Design, and Practitioners"
19-3041.00,1,"Research, Development, Design, and Practitioners",
19-3041.00,1-4,"Life, Physical, and Social Science","Research, Development, Design, and Practitioners"
19-3051.00,1,"Research, Development, Design, and Practitioners",
19-3051.00,1-4,"Life, Physical, and Social Science","Research, Development, Design, and Practitioners"
19-3091.00,1,"Research, Development, Design, and Practitioners",
19-3091.00,1-4,"Life, Physical, and Social Science","Research, Development, Design, and Practitioners"
19-3092.00,1,"Research, Development, Design, and Practitioners",
19-3092.00,1-4,"Life, Physical, and Social Science","Research, Development, Design, and Practitioners"
19-3094.00,1,"Research, Development, Design, and Practitioners",
19-3094.00,1-4,"Life, Physical, and Social Science","Research, Development, Design, and Practitioners"
19-3099.00,1,"Research, Development, Design, and Practitioners",
19-3099.00,1-4,"Life, Physical, and Social Science","Research, Development, Design, and Practitioners"
19-3099.01,1,"Research, Development, Design, and Practitioners",
19-3099.01,1-4,"Life, Physical, and Social Science","Research, Development, Design, and Practitioners"
19-4012.00,2,Technologists and Technicians,
19-4012.00,2-4,"Life, Physical, and Social Science",Technologists and Technicians
19-4012.01,2,Technologists and Technicians,
19-4012.01,2-4,"Life, Physical, and Social Science",Technologists and Technicians
19-4013.00,2,Technologists and Technicians,
19-4013.00,2-4,"Life, Physical, and Social Science",Technologists and Technicians
19-4021.00,2,Technologists and Technicians,
19-4021.00,2-4,"Life, Physical, and Social Science",Technologists and Technicians
19-4031.00,2,Technologists and Technicians,
19-4031.00,2-4,"Life, Physical, and Social Science",Technologists and Technicians
19-4042.00,2,Technologists and Technicians,
19-4042.00,2-4,"Life, Physical, and Social Science",Technologists and Technicians
19-4043.00,2,Technologists and Technicians,
19-4043.00,2-4,"Life, Physical, and Social Science",Technologists and Technicians
19-4044.00,2,Technologists and Technicians,
19-4044.00,2-4,"Life, Physical, and Social Science",Technologists and Technicians
19-4051.00,2,Technologists and Technicians,
19-4051.00,2-4,"Life, Physical, and Social Science",Technologists and Technicians
19-4051.02,2,Technologists and Technicians,
19-4051.02,2-4,"Life, Physical, and Social Science",Technologists and Technicians
19-4061.00,2,Technologists and Technicians,
19-4061.00,2-4,"Life, Physical, and Social Science",Technologists and Technicians
19-4071.00,2,Technologists and Technicians,
19-4071.00,2-4,"Life, Physical, and Social Science",Technologists and Technicians
19-4092.00,2,Technologists and Technicians,
19-4092.00,2-4,"Life, Physical, and Social Science",Technologists and Technicians
19-4099.00,2,Technologists and Technicians,
19-4099.00,2-4,"Life, Physical, and Social Science",Technologists and Technicians
19-4099.01,2,Technologists and Technicians,
19-4099.01,2-4,"Life, Physical, and Social Science",Technologists and Technicians
19-4099.03,2,Technologists and Technicians,
19-4099.03,2-4,"Life, Physical, and Social Science",Technologists and Technicians
25-1021.00,3,Postsecondary Teaching,
25-1022.00,3,Postsecondary Teaching,
25-1031.00,3,Postsecondary Teaching,
25-1032.00,3,Postsecondary Teaching,
25-1041.00,3,Postsecondary Teaching,
25-1042.00,3,Postsecondary Teaching,
25-1043.00,3,Postsecondary Teaching,
25-1051.00,3,Postsecondary Teaching,
25-1052.00,3,Postsecondary Teaching,
