onet_soc_code,title,susceptibility,total_employment,neighbours,best_relief,reason
11-9121.02,Water Resource Specialists,62.8,108690.0,2,2.6,every close neighbour is about as exposed
17-3013.00,Mechanical Drafters,62.6,39960.0,8,4.7,every close neighbour is about as exposed
19-2032.00,Materials Scientists,62.4,8470.0,13,8.6,every close neighbour is about as exposed
11-9121.00,Natural Sciences Managers,62.3,108690.0,6,2.1,every close neighbour is about as exposed
15-2011.00,Actuaries,62.3,26670.0,3,0.0,every close neighbour is about as exposed
17-3027.00,Mechanical Engineering Technologists and Technicians,62.3,36190.0,44,11.9,every close neighbour is about as exposed
17-2199.06,Microsystems Engineers,62.2,154070.0,44,11.8,every close neighbour is about as exposed
17-2199.08,Robotics Engineers,62.2,154070.0,39,11.8,every close neighbour is about as exposed
17-1011.00,"Architects, Except Landscape and Naval",62.1,106770.0,27,7.5,every close neighbour is about as exposed
17-2041.00,Chemical Engineers,62.0,21070.0,18,6.9,every close neighbour is about as exposed
17-2141.01,Fuel Cell Engineers,62.0,296810.0,41,11.6,every close neighbour is about as exposed
11-9111.00,Medical and Health Services Managers,61.8,597080.0,6,1.6,every close neighbour is about as exposed
17-2151.00,"Mining and Geological Engineers, Including Mining Safety Engineers",61.8,6080.0,38,7.2,every close neighbour is about as exposed
17-2081.00,Environmental Engineers,61.7,38340.0,39,11.3,every close neighbour is about as exposed
17-2112.01,Human Factors Engineers and Ergonomists,61.7,365740.0,42,11.3,every close neighbour is about as exposed
19-1031.03,Park Naturalists,61.3,25950.0,7,7.4,every close neighbour is about as exposed
17-2161.00,Nuclear Engineers,61.1,15280.0,35,10.7,every close neighbour is about as exposed
19-3034.00,School Psychologists,61.0,63940.0,13,9.3,every close neighbour is about as exposed
17-2141.00,Mechanical Engineers,60.7,296810.0,48,10.3,every close neighbour is about as exposed
17-2199.05,Mechatronics Engineers,60.7,154070.0,43,10.3,every close neighbour is about as exposed
17-3023.00,Electrical and Electronic Engineering Technologists and Technicians,60.7,95130.0,43,10.3,every close neighbour is about as exposed
19-1023.00,Zoologists and Wildlife Biologists,60.4,18120.0,24,10.3,every close neighbour is about as exposed
11-9041.00,Architectural and Engineering Managers,60.2,220260.0,5,-1.6,every close neighbour is about as exposed
17-2051.01,Transportation Engineers,60.2,367840.0,35,5.6,every close neighbour is about as exposed
19-3092.00,Geographers,60.0,1400.0,9,6.1,every close neighbour is about as exposed
17-2131.00,Materials Engineers,59.9,22770.0,39,9.5,every close neighbour is about as exposed
17-2011.00,Aerospace Engineers,59.8,67710.0,20,8.2,every close neighbour is about as exposed
17-2199.09,Nanosystems Engineers,59.8,154070.0,30,9.4,every close neighbour is about as exposed
