onet_soc_code,title,stem_occupation_types,job_zone,n_tasks_scored,susceptibility,exposure,anchoring,deployment_gap,share_tasks_high_susceptibility,share_largely_automatable,share_human_anchored,quadrant
29-2034.00,Radiologic Technologists and Technicians,Technologists and Technicians,3,30,44.9,42.1,52.3,12.2,0.133,0.067,0.467,Human-anchored
29-9099.01,Midwives,"Research, Development, Design, and Practitioners; Technologists and Technicians",5,36,44.8,48.9,59.3,28.3,0.083,0.0,0.667,Human-anchored
29-1229.03,Urologists,"Research, Development, Design, and Practitioners",5,14,44.5,49.1,60.1,32.4,0.0,0.0,0.643,Human-anchored
29-2035.00,Magnetic Resonance Imaging Technologists,Technologists and Technicians,3,24,44.5,40.0,51.0,10.1,0.083,0.125,0.333,Human-anchored
29-1023.00,Orthodontists,"Research, Development, Design, and Practitioners",5,11,43.9,47.3,59.4,28.8,0.0,0.0,0.818,Human-anchored
29-2099.01,Neurodiagnostic Technologists,Technologists and Technicians,3,16,43.8,43.6,55.9,19.1,0.062,0.0,0.5,Human-anchored
29-1211.00,Anesthesiologists,"Research, Development, Design, and Practitioners",5,20,43.4,47.4,60.6,28.2,0.0,0.05,0.7,Human-anchored
29-1229.04,Physical Medicine and Rehabilitation Physicians,"Research, Development, Design, and Practitioners",5,15,43.2,50.3,64.0,34.6,0.0,0.0,0.867,Human-anchored
29-2031.00,Cardiovascular Technologists and Technicians,Technologists and Technicians,3,21,43.2,39.7,53.4,9.4,0.143,0.095,0.476,Human-anchored
29-2061.00,Licensed Practical and Licensed Vocational Nurses,Technologists and Technicians,3,22,42.9,37.7,51.9,7.5,0.091,0.045,0.409,Human-anchored
29-1124.00,Radiation Therapists,"Research, Development, Design, and Practitioners",3,22,42.5,39.0,54.1,10.5,0.136,0.136,0.591,Human-anchored
29-1141.03,Critical Care Nurses,"Research, Development, Design, and Practitioners",4,29,42.5,44.0,59.0,23.3,0.034,0.0,0.655,Human-anchored
29-2091.00,Orthotists and Prosthetists,Technologists and Technicians,5,15,42.5,40.3,55.2,17.9,0.067,0.0,0.333,Human-anchored
29-1126.00,Respiratory Therapists,"Research, Development, Design, and Practitioners",3,23,42.1,42.7,58.5,21.0,0.043,0.0,0.652,Human-anchored
29-1292.00,Dental Hygienists,"Research, Development, Design, and Practitioners",3,16,42.1,38.9,54.7,11.9,0.062,0.125,0.562,Human-anchored
29-1291.00,Acupuncturists,"Research, Development, Design, and Practitioners",5,18,41.7,44.0,60.6,27.3,0.0,0.0,0.778,Human-anchored
29-1151.00,Nurse Anesthetists,"Research, Development, Design, and Practitioners",5,24,41.2,39.9,57.5,19.1,0.125,0.083,0.667,Human-anchored
29-2011.04,Histotechnologists,Technologists and Technicians,4,16,41.1,28.3,46.0,-11.3,0.062,0.0,0.188,Human-anchored
29-2053.00,Psychiatric Technicians,Technologists and Technicians,3,16,41.1,39.5,57.3,20.4,0.062,0.0,0.562,Human-anchored
29-2042.00,Emergency Medical Technicians,Technologists and Technicians,3,12,40.5,39.5,58.5,19.3,0.083,0.0,0.5,Human-anchored
29-2099.05,Ophthalmic Medical Technologists,Technologists and Technicians,3,31,38.8,31.4,53.8,-5.9,0.032,0.032,0.226,Human-anchored
29-2092.00,Hearing Aid Specialists,Technologists and Technicians,3,11,38.6,34.7,57.5,12.2,0.091,0.0,0.545,Human-anchored
29-2043.00,Paramedics,Technologists and Technicians,3,13,38.5,42.2,65.2,29.4,0.077,0.0,0.769,Human-anchored
29-2056.00,Veterinary Technologists and Technicians,Technologists and Technicians,3,31,38.3,30.6,54.0,3.4,0.129,0.065,0.548,Human-anchored
29-2055.00,Surgical Technologists,Technologists and Technicians,3,18,38.0,27.4,51.3,-4.3,0.111,0.167,0.5,Human-anchored
29-2057.00,Ophthalmic Medical Technicians,Technologists and Technicians,3,20,36.5,27.7,54.8,-7.2,0.0,0.0,0.25,Human-anchored
29-1021.00,"Dentists, General","Research, Development, Design, and Practitioners",5,20,36.2,35.4,63.1,21.8,0.05,0.0,0.85,Human-anchored
29-1071.01,Anesthesiologist Assistants,"Research, Development, Design, and Practitioners",5,16,35.0,30.7,60.6,13.0,0.062,0.0,0.75,Human-anchored
29-2012.01,Histology Technicians,Technologists and Technicians,3,8,34.2,15.6,47.1,-18.3,0.0,0.0,0.125,Human-anchored
29-9093.00,Surgical Assistants,"Research, Development, Design, and Practitioners",3,28,30.0,22.0,62.0,3.4,0.0,0.036,0.821,Human-anchored
29-1022.00,Oral and Maxillofacial Surgeons,"Research, Development, Design, and Practitioners",5,15,29.4,31.8,72.9,23.7,0.0,0.0,1.0,Human-anchored
29-1024.00,Prosthodontists,"Research, Development, Design, and Practitioners",5,12,29.2,24.2,65.8,11.1,0.0,0.0,0.917,Human-anchored
