onet_soc_code,title,scenario,tasks,automated,augmented,unchanged,new_tasks,share_automated,reshaped,total_employment,has_destination
25-1065.00,"Political Science Teachers, Postsecondary",extreme,22,19,3,0,0,0.864,1,16970.0,0
19-3011.00,Economists,extreme,14,12,2,0,3,0.857,1,17790.0,1
15-1299.09,Information Technology Project Managers,extreme,21,18,3,0,0,0.857,1,435370.0,0
17-2111.02,Fire-Prevention and Protection Engineers,extreme,14,12,2,0,3,0.857,1,21450.0,0
17-2041.00,Chemical Engineers,extreme,14,12,2,0,2,0.857,1,21070.0,0
19-2021.00,Atmospheric and Space Scientists,extreme,27,23,1,3,0,0.852,1,10000.0,1
17-2112.00,Industrial Engineers,extreme,20,17,3,0,0,0.85,1,365740.0,1
25-1051.00,"Atmospheric, Earth, Marine, and Space Sciences Teachers, Postsecondary",extreme,26,22,4,0,1,0.846,1,9900.0,0
29-2099.08,Patient Representatives,extreme,13,11,2,0,1,0.846,1,182610.0,0
19-2042.00,"Geoscientists, Except Hydrologists and Geographers",extreme,32,27,1,4,0,0.844,1,23470.0,1
17-1012.00,Landscape Architects,extreme,19,16,3,0,3,0.842,1,19600.0,0
25-1043.00,"Forestry and Conservation Science Teachers, Postsecondary",extreme,25,21,4,0,1,0.84,1,1520.0,0
25-1053.00,"Environmental Science Teachers, Postsecondary",extreme,25,21,4,0,0,0.84,1,6690.0,0
25-1064.00,"Geography Teachers, Postsecondary",extreme,25,21,4,0,0,0.84,1,3330.0,0
41-9031.00,Sales Engineers,extreme,25,21,2,2,0,0.84,1,51790.0,0
17-1011.00,"Architects, Except Landscape and Naval",extreme,25,21,3,1,0,0.84,1,106770.0,0
25-1032.00,"Engineering Teachers, Postsecondary",extreme,24,20,4,0,0,0.833,1,40270.0,0
25-1067.00,"Sociology Teachers, Postsecondary",extreme,24,20,4,0,3,0.833,1,11850.0,0
19-1029.03,Geneticists,extreme,24,20,3,1,0,0.833,1,55850.0,1
17-2151.00,"Mining and Geological Engineers, Including Mining Safety Engineers",extreme,18,15,2,1,1,0.833,1,6080.0,0
25-1072.00,"Nursing Instructors and Teachers, Postsecondary",extreme,29,24,5,0,0,0.828,1,77960.0,0
25-1022.00,"Mathematical Science Teachers, Postsecondary",extreme,23,19,4,0,1,0.826,1,47670.0,0
25-1041.00,"Agricultural Sciences Teachers, Postsecondary",extreme,23,19,4,0,0,0.826,1,8920.0,0
17-2199.05,Mechatronics Engineers,extreme,23,19,4,0,0,0.826,1,154070.0,0
25-1071.00,"Health Specialties Teachers, Postsecondary",extreme,22,18,4,0,0,0.818,1,221270.0,0
19-4061.00,Social Science Research Assistants,extreme,22,18,4,0,1,0.818,1,30640.0,1
19-1029.04,Biologists,extreme,22,18,3,1,1,0.818,1,55850.0,1
25-1042.00,"Biological Science Teachers, Postsecondary",extreme,27,22,4,1,1,0.815,1,50190.0,0
25-1061.00,"Anthropology and Archeology Teachers, Postsecondary",extreme,27,22,5,0,0,0.815,1,5240.0,0
29-9021.00,Health Information Technologists and Medical Registrars,extreme,16,13,2,1,0,0.812,1,38100.0,1
15-1232.00,Computer User Support Specialists,extreme,16,13,1,2,0,0.812,1,717190.0,0
19-1041.00,Epidemiologists,extreme,16,13,3,0,1,0.812,1,12090.0,1
19-2032.00,Materials Scientists,extreme,16,13,0,3,2,0.812,1,8470.0,0
11-9121.02,Water Resource Specialists,extreme,21,17,4,0,0,0.81,1,108690.0,0
29-1051.00,Pharmacists,extreme,21,17,2,2,0,0.81,1,321970.0,1
25-1021.00,"Computer Science Teachers, Postsecondary",extreme,26,21,5,0,0,0.808,1,35480.0,0
17-2051.01,Transportation Engineers,extreme,26,21,4,1,1,0.808,1,367840.0,0
17-2199.06,Microsystems Engineers,extreme,31,25,4,2,0,0.806,1,154070.0,0
19-3032.00,Industrial-Organizational Psychologists,extreme,25,20,5,0,2,0.8,1,790.0,1
17-2141.02,Automotive Engineers,extreme,25,20,4,1,0,0.8,1,296810.0,1
29-1229.05,Preventive Medicine Physicians,extreme,15,12,3,0,0,0.8,1,342720.0,1
17-2072.00,"Electronics Engineers, Except Computer",extreme,20,16,2,2,0,0.8,1,96900.0,1
25-1066.00,"Psychology Teachers, Postsecondary",extreme,29,23,6,0,1,0.793,1,41530.0,0
25-1054.00,"Physics Teachers, Postsecondary",extreme,24,19,4,1,1,0.792,1,13090.0,0
19-3034.00,School Psychologists,extreme,19,15,3,1,2,0.789,1,63940.0,0
11-9041.00,Architectural and Engineering Managers,extreme,19,15,4,0,0,0.789,1,220260.0,0
25-1052.00,"Chemistry Teachers, Postsecondary",extreme,28,22,5,1,0,0.786,1,19980.0,0
17-3022.00,Civil Engineering Technologists and Technicians,extreme,14,11,1,2,1,0.786,1,68520.0,0
19-1042.00,"Medical Scientists, Except Epidemiologists",extreme,14,11,2,1,0,0.786,1,172340.0,1
17-2011.00,Aerospace Engineers,extreme,14,11,2,1,1,0.786,1,67710.0,0
17-2021.00,Agricultural Engineers,extreme,14,11,2,1,2,0.786,1,1480.0,0
19-1011.00,Animal Scientists,extreme,9,7,1,1,0,0.778,1,3100.0,0
19-4012.01,Precision Agriculture Technicians,extreme,22,17,2,3,1,0.773,1,15130.0,1
19-1012.00,Food Scientists and Technologists,extreme,13,10,0,3,1,0.769,1,13060.0,0
15-1231.00,Computer Network Support Specialists,extreme,26,20,4,2,0,0.769,1,146190.0,0
17-2199.07,Photonics Engineers,extreme,26,20,3,3,0,0.769,1,154070.0,1
17-2199.11,Solar Energy Systems Engineers,extreme,13,10,1,2,0,0.769,1,154070.0,0
17-3027.00,Mechanical Engineering Technologists and Technicians,extreme,30,23,1,6,0,0.767,1,36190.0,1
19-3091.00,Anthropologists and Archeologists,extreme,30,23,3,4,1,0.767,1,8990.0,0
17-2199.03,"Energy Engineers, Except Wind and Solar",extreme,21,16,4,1,0,0.762,1,154070.0,0
17-2131.00,Materials Engineers,extreme,21,16,3,2,0,0.762,1,22770.0,0
17-2081.00,Environmental Engineers,extreme,29,22,6,1,0,0.759,1,38340.0,0
19-2099.01,Remote Sensing Scientists and Technologists,extreme,24,18,3,3,1,0.75,1,22300.0,1
17-2161.00,Nuclear Engineers,extreme,20,15,4,1,1,0.75,1,15280.0,0
19-4044.00,Hydrologic Technicians,extreme,16,12,0,4,0,0.75,1,2840.0,1
19-1021.00,Biochemists and Biophysicists,extreme,24,18,3,3,1,0.75,1,33830.0,1
19-3092.00,Geographers,extreme,12,9,1,2,0,0.75,1,1400.0,0
29-1223.00,Psychiatrists,extreme,12,9,2,1,2,0.75,1,27980.0,1
17-2051.00,Civil Engineers,extreme,16,12,1,3,1,0.75,1,367840.0,0
19-1013.00,Soil and Plant Scientists,extreme,27,20,6,1,0,0.741,1,15730.0,0
29-1127.00,Speech-Language Pathologists,extreme,23,17,5,1,0,0.739,1,183390.0,1
17-3012.00,Electrical and Electronics Drafters,extreme,30,22,4,4,0,0.733,1,17920.0,0
19-1031.00,Conservation Scientists,extreme,30,22,4,4,0,0.733,1,25950.0,0
17-2141.01,Fuel Cell Engineers,extreme,26,19,5,2,0,0.731,1,296810.0,0
29-1125.00,Recreational Therapists,extreme,11,8,3,0,0,0.727,1,14930.0,1
17-2061.00,Computer Hardware Engineers,extreme,18,13,3,2,0,0.722,1,76660.0,1
19-2043.00,Hydrologists,extreme,25,18,3,4,1,0.72,1,5850.0,1
