onet_soc_code,title,stem_occupation_types,job_zone,n_tasks_scored,susceptibility,exposure,anchoring,deployment_gap,share_tasks_high_susceptibility,share_largely_automatable,share_human_anchored,quadrant
19-1029.02,Molecular and Cellular Biologists,"Research, Development, Design, and Practitioners",5,22,58.0,62.2,46.2,33.0,0.227,0.091,0.227,Human-anchored
17-2071.00,Electrical Engineers,"Research, Development, Design, and Practitioners",4,22,57.9,60.0,44.2,26.7,0.227,0.091,0.0,Human-anchored
17-3027.01,Automotive Engineering Technicians,Technologists and Technicians,3,18,57.6,54.0,38.8,12.7,0.333,0.111,0.056,Insulated
29-1223.00,Psychiatrists,"Research, Development, Design, and Practitioners",5,12,57.4,70.7,55.9,47.1,0.167,0.0,0.583,Contested
19-3091.00,Anthropologists and Archeologists,"Research, Development, Design, and Practitioners",5,30,57.2,62.1,47.7,35.3,0.167,0.067,0.1,Human-anchored
17-3028.00,Calibration Technologists and Technicians,Technologists and Technicians,3,14,57.0,52.1,38.0,15.9,0.286,0.143,0.0,Insulated
17-1021.00,Cartographers and Photogrammetrists,Technologists and Technicians,4,14,56.8,47.7,34.2,-1.3,0.0,0.214,0.0,Insulated
29-2051.00,Dietetic Technicians,Technologists and Technicians,3,13,56.8,66.9,53.3,41.3,0.154,0.0,0.308,Contested
19-1031.00,Conservation Scientists,"Research, Development, Design, and Practitioners",4,30,56.7,63.2,49.9,38.1,0.067,0.067,0.133,Human-anchored
29-1051.00,Pharmacists,"Research, Development, Design, and Practitioners",5,21,56.6,63.2,50.0,32.8,0.238,0.143,0.476,Human-anchored
17-1022.00,Surveyors,Technologists and Technicians,4,24,56.5,52.8,39.9,7.8,0.167,0.167,0.042,Insulated
17-3025.00,Environmental Engineering Technologists and Technicians,Technologists and Technicians,4,23,56.4,55.1,42.3,16.4,0.217,0.13,0.174,Insulated
17-3031.00,Surveying and Mapping Technicians,Technologists and Technicians,3,30,56.2,48.7,36.4,-1.3,0.167,0.2,0.067,Insulated
17-3026.01,Nanotechnology Engineering Technologists and Technicians,Technologists and Technicians,4,25,55.9,51.4,39.7,10.2,0.28,0.08,0.0,Insulated
29-1129.01,Art Therapists,"Research, Development, Design, and Practitioners",5,25,55.9,65.3,53.5,39.6,0.16,0.04,0.48,Human-anchored
29-1229.01,Allergists and Immunologists,"Research, Development, Design, and Practitioners",5,16,55.7,70.6,59.3,51.1,0.125,0.0,0.688,Contested
19-3033.00,Clinical and Counseling Psychologists,"Research, Development, Design, and Practitioners",5,30,55.5,64.5,53.5,39.8,0.2,0.033,0.533,Human-anchored
