soc_code,soc_title,n_onet_occupations,onet_codes,total_employment,annual_mean_wage,annual_median_wage,susceptibility,susceptibility_sd_within_soc,exposure,anchoring,deployment_gap,quadrant,wage_bill_usd,stem_occupation_types
25-1032,"Engineering Teachers, Postsecondary",1,25-1032.00,40270.0,124520.0,109270.0,67.5,0.0,71.3,36.2,36.1,Displaceable,5014420400,Postsecondary Teaching
17-3013,Mechanical Drafters,1,17-3013.00,39960.0,75060.0,71550.0,65.9,0.0,62.8,31.0,22.5,Displaceable,2999397600,Technologists and Technicians
29-1011,Chiropractors,1,29-1011.00,39630.0,90520.0,79200.0,50.4,0.0,56.6,55.7,29.9,Human-anchored,3587307600,"Research, Development, Design, and Practitioners"
29-1221,"Pediatricians, General",1,29-1221.00,39390.0,212110.0,210040.0,48.3,0.0,56.9,60.3,39.9,Human-anchored,8355012900,"Research, Development, Design, and Practitioners"
29-1211,Anesthesiologists,1,29-1211.00,38760.0,360570.0,391490.0,43.9,0.0,49.7,61.8,31.0,Human-anchored,13975693200,"Research, Development, Design, and Practitioners"
17-2081,Environmental Engineers,1,17-2081.00,38340.0,112910.0,107110.0,61.1,0.0,64.1,41.9,32.7,Contested,4328969400,"Research, Development, Design, and Practitioners"
29-9021,Health Information Technologists and Medical Registrars,1,29-9021.00,38100.0,74970.0,68020.0,65.7,0.0,69.3,38.0,29.3,Displaceable,2856357000,"Research, Development, Design, and Practitioners; Technologists and Technicians"
15-1221,Computer and Information Research Scientists,1,15-1221.00,37200.0,153930.0,140300.0,65.7,0.0,70.7,39.3,38.2,Displaceable,5726196000,"Research, Development, Design, and Practitioners"
19-3099,"Social Scientists and Related Workers, All Other",1,19-3099.01,37100.0,107690.0,101110.0,67.0,0.0,74.5,40.6,45.7,Displaceable,3995299000,"Research, Development, Design, and Practitioners"
17-3027,Mechanical Engineering Technologists and Technicians,2,17-3027.00;17-3027.01,36190.0,76380.0,74510.0,60.0,3.4,56.2,36.2,13.7,Insulated,2764192200,Technologists and Technicians
25-1021,"Computer Science Teachers, Postsecondary",1,25-1021.00,35480.0,104420.0,96980.0,65.5,0.0,69.7,38.7,37.5,Displaceable,3704821600,Postsecondary Teaching
29-9099,"Healthcare Practitioners and Technical Workers, All Other",1,29-9099.01,35010.0,76720.0,65790.0,45.4,0.0,51.1,60.2,30.6,Human-anchored,2685967200,"Research, Development, Design, and Practitioners; Technologists and Technicians"
19-4042,"Environmental Science and Protection Technicians, Including Health",1,19-4042.00,34670.0,60800.0,55090.0,52.6,0.0,49.7,44.5,17.7,Human-anchored,2107936000,Technologists and Technicians
19-1021,Biochemists and Biophysicists,1,19-1021.00,33830.0,129840.0,127410.0,59.4,0.0,61.6,42.9,32.0,Human-anchored,4392487200,"Research, Development, Design, and Practitioners"
29-1214,Emergency Medicine Physicians,1,29-1214.00,32880.0,317480.0,335550.0,47.2,0.0,57.0,62.5,39.5,Human-anchored,10438742400,"Research, Development, Design, and Practitioners"
29-2051,Dietetic Technicians,1,29-2051.00,31560.0,40630.0,37640.0,55.3,0.0,62.4,51.8,38.5,Contested,1282282800,Technologists and Technicians
19-4061,Social Science Research Assistants,1,19-4061.00,30640.0,66140.0,61990.0,68.0,0.0,70.6,34.6,30.3,Displaceable,2026529600,Technologists and Technicians
29-9091,Athletic Trainers,1,29-9091.00,30500.0,66620.0,62520.0,49.9,0.0,51.5,51.7,25.4,Human-anchored,2031910000,"Research, Development, Design, and Practitioners"
19-4071,Forest and Conservation Technicians,1,19-4071.00,30410.0,59060.0,54560.0,49.9,0.0,43.6,43.8,10.4,Human-anchored,1796014600,Technologists and Technicians
15-2041,Statisticians,2,15-2041.01;15-2041.00,29030.0,115700.0,105650.0,75.0,0.8,80.2,30.2,35.6,Displaceable,3358771000,"Research, Development, Design, and Practitioners"
29-1299,"Healthcare Diagnosing or Treating Practitioners, All Other",2,29-1299.01;29-1299.02,28630.0,127660.0,115210.0,50.5,0.3,56.8,55.7,34.5,Human-anchored,3654905800,"Research, Development, Design, and Practitioners"
29-1223,Psychiatrists,1,29-1223.00,27980.0,269940.0,281870.0,56.4,0.0,67.2,54.4,45.8,Contested,7552921200,"Research, Development, Design, and Practitioners"
29-1224,Radiologists,1,29-1224.00,26770.0,381530.0,420860.0,53.4,0.0,60.7,54.0,35.9,Human-anchored,10213558100,"Research, Development, Design, and Practitioners"
15-2011,Actuaries,1,15-2011.00,26670.0,141480.0,130000.0,61.1,0.0,68.9,46.8,43.7,Contested,3773271600,"Research, Development, Design, and Practitioners"
19-1031,Conservation Scientists,3,19-1031.03;19-1031.00;19-1031.02,25950.0,77130.0,73010.0,58.1,2.9,59.8,43.6,30.1,Human-anchored,2001523500,"Research, Development, Design, and Practitioners"
17-2031,Bioengineers and Biomedical Engineers,1,17-2031.00,23480.0,116890.0,109370.0,65.1,0.0,70.1,39.8,40.0,Displaceable,2744577200,"Research, Development, Design, and Practitioners"
19-2042,"Geoscientists, Except Hydrologists and Geographers",1,19-2042.00,23470.0,116150.0,101920.0,62.9,0.0,64.1,38.4,28.3,Displaceable,2726040500,"Research, Development, Design, and Practitioners"
